"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789653672831680883","Sun May 12 13:47:40 +0000 2024","7","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/9jgHhPtimB","1789653672831680883","","","in","Estonia","0","8","7","https://twitter.com/Mrqez/status/1789653672831680883","90487687","Mrqez"
"1789653425703244016","Sun May 12 13:46:41 +0000 2024","7","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/EZyc8XTsug","1789653425703244016","","","in","china","0","8","7","https://twitter.com/jessieh02631629/status/1789653425703244016","614681987","jessieh02631629"
"1789653277979836711","Sun May 12 13:46:12 +0000 2024","0","melalui kanal YouTubenya. Adapun Timnas Indonesia U-23 baru saja menyelesaikan perjuangannya di Piala Asia U-23 2024 dan playoff Olimpiade Paris 2024. Sayangnya skuad Garuda Muda gagal tampil di turnamen 4 tahunan tersebut. #informasibolaindonesia #TimnasIndonesia #TimnasU23 https://t.co/oOD5yzgTGu","1789653302571065455","https://pbs.twimg.com/media/GNYgLorbcAAm_5N.jpg","turunminum_id","in","","0","1","0","https://twitter.com/turunminum_id/status/1789653302571065455","1639038819143155712","turunminum_id"
"1789653287370952817","Sun May 12 13:46:08 +0000 2024","0","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/gguOWwBkZV","1789653287370952817","","","in","","0","0","0","https://twitter.com/AustinCale47888/status/1789653287370952817","1769429222861197312","AustinCale47888"
"1789653277979836711","Sun May 12 13:46:06 +0000 2024","0","Sebanyak 9 pemain Timnas Indonesia U-23 bakal dipanggil oleh Shin Tae-yong ke skuad senior untuk Kualifikasi Piala Dunia 2026. Siapa saja pemain yang bakal dipanggil? Informasi pemanggilan pemain ini diungkapkan langsung oleh pengamat sepak bola Ronny Pangemanan atau Bung Ropan https://t.co/ud6ft48YJD","1789653277979836711","https://pbs.twimg.com/media/GNYgK8Ha4AEzYt5.jpg","","in","","0","1","0","https://twitter.com/turunminum_id/status/1789653277979836711","1639038819143155712","turunminum_id"
"1789653266793734505","Sun May 12 13:46:03 +0000 2024","7","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/RhEg9qfrR1","1789653266793734505","","","in","","0","7","7","https://twitter.com/OnitaPete49774/status/1789653266793734505","1747769063349313536","OnitaPete49774"
"1789653216403366186","Sun May 12 13:45:51 +0000 2024","6","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/MfdbaMbrpW","1789653216403366186","","","in","","0","6","5","https://twitter.com/DavidsonJo44776/status/1789653216403366186","1769378241024770048","DavidsonJo44776"
"1789588027091890395","Sun May 12 13:45:49 +0000 2024","0","@MFaDinar @indosupporter Sedangkan timnas wanita indo cuman latihan aja trus. Bagi lu no value tapi bagi pemain Garuda Pertiwi itu high value bos. Kalo Garuda Pertiwi berprestasi gw yakin banget lu juga ikutan2 euphoria.","1789653206261445033","","MFaDinar","in","Bandung, Indonesia","0","0","0","https://twitter.com/HillmanAdli/status/1789653206261445033","277300234","HillmanAdli"
"1789653176637080031","Sun May 12 13:45:42 +0000 2024","7","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/5O0NDRKDa8","1789653176637080031","","","in","","0","8","7","https://twitter.com/Liliana92547871/status/1789653176637080031","1048904120","Liliana92547871"
"1789652278036791358","Sun May 12 13:45:38 +0000 2024","0","@iniumee Setujuuu aku ga paham amat ttg bola tapi tetap nonton. Kmrin jg ak bahas timnas sama temen","1789653160157745557","","iniumee","in","","0","1","0","https://twitter.com/ondodam/status/1789653160157745557","1271241992396128256","ondodam"
